longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.67122259805375,-34.6613817384361,51597,Led-240,0.8,0.939,1.0,1,0,100,100,25.0
-58.671240864708835,-34.66138095286252,51598,Led-150,0.8,0.943,1.0,1,0,100,100,25.0
-58.67121907497508,-34.66142077878066,51667,Led-240,0.8,0.951,1.0,1,0,100,100,25.0
-58.671221819936875,-34.661421142450486,51684,Led-150,0.8,0.956,1.0,0,0,100,100,25.0
-58.671202233822825,-34.66136646104908,51789,Led-240,0.8,0.945,1.0,0,0,100,100,25.0
-58.67120576670351,-34.66138964237301,51792,Led-150,0.8,0.96,1.0,0,0,100,100,25.0
-58.671217025153545,-34.6613871590478,51810,Led-150,0.8,0.968,1.0,0,0,100,100,25.0
-58.6712062364752,-34.66141656492397,51828,Led-150,0.8,0.963,1.0,0,0,100,100,25.0
-58.671196729357284,-34.66137910069693,51879,Led-240,0.8,0.915,1.0,1,0,100,100,25.0
-58.67117815451525,-34.66140848882974,51923,Led-240,0.8,0.9,1.0,1,0,100,100,25.0
-58.67118498925765,-34.661410858295895,51924,Led-150,0.8,0.961,1.0,0,0,100,100,25.0
-58.67118121270357,-34.661351855644874,51950,Led-150,0.8,0.963,1.0,0,0,100,100,25.0
-58.6711530091762,-34.661401516187055,51995,Led-240,0.8,0.916,1.0,1,0,100,100,25.0
-58.671196820695215,-34.6613637539405,52041,Led-240,0.8,0.95,1.0,0,0,100,100,25.0
-58.67119777398031,-34.661352663129044,52066,Led-150,0.8,0.951,1.0,0,0,100,100,25.0
-58.6711390416834,-34.66136259190081,52208,Led-150,0.8,0.944,1.0,0,0,100,100,25.0
-58.67109753614031,-34.66138582484597,52416,Led-150,0.8,0.821,2.0,2,0,100,100,25.0
-58.67113004509312,-34.66134567986153,52532,Led-150,0.8,0.935,1.0,0,0,100,100,25.0
-58.67109403463674,-34.66135399958669,52892,Led-150,0.8,0.947,1.0,1,0,100,100,25.0
-58.67104732070941,-34.66134253718099,52941,Led-240,0.8,0.944,1.0,1,0,100,100,25.0
-58.671079685396414,-34.66130284156331,52944,Led-150,0.8,0.966,1.0,1,0,100,100,25.0
-58.671047300466675,-34.66131143386,53268,Led-150,0.8,0.985,1.0,0,0,100,100,25.0
-58.67103518960994,-34.66136778843882,53405,Led-240,0.8,0.958,1.0,1,0,100,100,25.0
-58.671034023020646,-34.66133198875482,53511,Led-240,0.8,0.938,1.0,0,0,100,100,25.0
-58.671027487698964,-34.661313613294936,53714,Led-150,0.8,0.954,1.0,0,0,100,100,25.0
-58.671029760582734,-34.661275922269795,53766,Led-150,0.8,0.943,1.0,0,0,100,100,25.0
-58.67101769994205,-34.66131920203744,53775,Led-240,0.8,0.939,1.0,1,0,100,100,25.0
-58.67098834208006,-34.66135423967162,53815,Led-240,0.8,0.962,1.0,1,0,100,100,25.0
-58.67095236555933,-34.66131576622472,53879,Led-240,0.8,0.944,1.0,0,0,100,100,25.0
